Class 1A National Insurance contributions: Exemptions from  Class 1A NICs liability: Benefits and payments exempt from Class 1A  NICs by regulation: Table of benefits and payments exempt from Class  1A NICs liability
Identifier: NIM14510
Source: https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14510
Published: 2016-04-11T17:30:00+01:00
Updated: 2023-02-28T10:24:07+00:00
Retrieved (UTC): 2026-09-18T15:20:12.984745+00:00

Section 10(9)(a) SSCBA 1992 and regulation 40 SS(C)R 2001

NIM14501  (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14501)explains that some benefits and payments chargeable to income tax are specifically excluded from Class 1A NICs liability by regulation 40 of the SS(C)R 2001. The table below lists those benefits and payments. Before deciding whether a payment is excluded from Class 1A NICs liability you should ensure you consult the NIM guidance about the exclusion.

Benefit or payment |  Legislation – SS(C)R 2001 |  Guidance |
Fees and subscriptions to professional bodies, learned societies, etc |  Reg 40(2)(d) & para 11 Part 10 Schedule 3 |  NIM05695 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim05695) |

Holiday pay (from a fund) |  Reg 40(2)(d) & para 12 Part 10 Schedule 3 |  NIM02200 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02200) |

Payments to ministers of religion (not forming part of the stipend or salary) |  Reg 40(2)(d) & para 13 Part 10 Schedule 3 |  NIM02260 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02260) |

Rewards for assistance with lost or stolen cards - From 26 July 2001 |  Reg 40(2)(d) & para 15 Part 10 Schedule 3 |  NIM02108 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02108) |

Qualifying travel expenses which are not payments in kind |  Reg 40(3) & para 8 Part 8 Schedule 3 |  NIM06240 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim06240) |

Specific and distinct payments of, or towards, expenses incurred carrying out employment which are not payments in kind |  Reg 40(3) & para 9 Part 8 Schedule 3 |  NIM05020 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim05020) |

