Tax treatment of working rule agreements: rates of allowances paid under particular agreements: the Construction Industry Joint Council
Identifier: EIM71325
Source: https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim71325
Published: 2014-05-22T10:00:00+01:00
Updated: 2026-07-08T01:00:00+01:00
Retrieved (UTC): 2026-09-18T14:17:21.008200+00:00

Lodging or overnight subsistence allowance

Period | Allowance per night |

From 20 July 2026 | £53.69 |

30 June 2025 to 19 July 2026 | £51.97 |

24 June 2024 to 29 June 2025 | £50.65 |

25 June 2023 to 23 June 2024 | £49.08 |

9 January 2023 to 24 June 2023 | £44.58 |

25 July 2022 to 8 January 2023 | £43.74 |

28 June 2021 to 24 July 2022 | £41.66 |

24 June 2019 to 27 June 2021 | £40.76 |

Travel allowance
31 | £13.12 |

32 | £13.45 |

33 | £13.78 |

34 | £14.08 |

35 | £14.43 |

36 | £14.75 |

37 | £15.07 |

38 | £15.38 |

39 | £15.72 |

40 | £16.04 |

41 | £16.37 |

42 | £16.68 |

43 | £17.02 |

44 | £17.35 |

45 | £17.65 |

46 | £17.98 |

47 | £18.31 |

48 | £18.64 |

49 | £18.95 |

50 | £19.28 |

Rates payable in miles from 28 June 2021 to 24 July 2022

Miles | Fare (not taxed) |

9 | £4.73 |

10 | £5.11 |

11 | £5.51 |

12 | £5.90 |

13 | £6.28 |

14 | £6.67 |

15 | £7.05 |

16 | £7.43 |

17 | £7.81 |

18 | £8.20 |

19 | £8.58 |

20 | £8.92 |

21 | £9.25 |

22 | £9.57 |

23 | £9.90 |

24 | £10.24 |

25 | £10.57 |

26 | £10.90 |

27 | £11.23 |

28 | £11.56 |

29 | £11.88 |

30 | £12.20 |

31 | £12.50 |

32 | £12.81 |

33 | £13.12 |

34 | £13.41 |

35 | £13.74 |

36 | £14.05 |

37 | £14.35 |

38 | £14.65 |

39 | £14.97 |

40 | £15.28 |

41 | £15.59 |

42 | £15.89 |

43 | £16.21 |

44 | £16.52 |

45 | £16.81 |

46 | £17.12 |

47 | £17.44 |

48 | £17.75 |

49 | £18.05 |

50 | £18.38 |

The scale is for both the outward and return journeys. Therefore, someone travelling 50 miles to site under this scale would receive £18.38 for a 100 mile round trip. (£0.1838 per mile)
